topic_a,topic_b,n_a,n_b,U,p_uncorrected,rank_biserial_r
0,109,11452,606,3396695.0,0.3803459220721215,0.0211
0,110,11452,599,2490471.0,1.0723216213121607e-29,0.2739
0,111,11452,595,3263467.0,0.08274505883529376,0.0421
0,112,11452,593,2400218.5,1.8330031672096597e-33,0.2931
0,113,11452,589,3673437.5,0.0002557792523249724,-0.0892
0,114,11452,581,4835351.0,3.7510286278931694e-76,-0.4535
0,115,11452,575,5236654.0,1.4569774545351458e-126,-0.5905
0,116,11452,571,3295406.0,0.7493715497624287,-0.0079
0,117,11452,566,3885433.5,1.2531631745247175e-15,-0.1989
0,118,11452,552,1751428.0,2.8420167629852143e-70,0.4459
0,119,11452,546,1735339.0,2.8153079328775107e-69,0.4449
0,120,11452,541,3715924.5,3.984696439193308e-15,-0.1995
0,121,11452,535,4444315.0,1.0040025928439769e-69,-0.4508
0,122,11452,534,3786464.0,1.1162832655673397e-20,-0.2383
0,123,11452,521,2824344.5,0.03945711742642931,0.0533
0,124,11452,515,3022735.5,0.33562500936457096,-0.025
0,125,11452,512,3362556.0,1.752659584221154e-08,-0.147
0,126,11452,507,1243796.5,1.7734965895359113e-105,0.5716
0,127,11452,504,3055216.5,0.025575198422090065,-0.0587
0,128,11452,502,2431135.0,4.689373475915591e-09,0.1542
0,129,11452,497,3496796.0,5.300329801771727e-18,-0.2287
0,130,11452,480,3938792.5,2.5672044957185893e-58,-0.4331
0,131,11452,477,3693004.5,6.353336309759559e-39,-0.3521
0,132,11452,476,2880172.0,0.03571947500039646,-0.0567
0,133,11452,475,3009033.0,8.399535421950568e-05,-0.1063
0,134,11452,475,3003750.5,0.00011298582889974072,-0.1044
0,135,11452,472,2927851.5,0.002123454712801302,-0.0833
0,136,11452,469,1279964.0,1.677494349001529e-82,0.5234
0,137,11452,462,3296661.5,2.582022767114248e-19,-0.2462
0,138,11452,458,2452251.5,0.01829273386908204,0.0649
0,139,11452,452,2745980.5,0.027635669848101146,-0.061
